txn_id,account_id,customer_id,timestamp,amount,currency,direction,channel,counterparty,counterparty_country
TXN87DF34CA7F,ACC5F505066,CUST0034,2026-04-01T00:27:21,3611.39,USD,debit,ach,Merchant/Osei,CA
TXN6536D4BE57,ACCF7FB5134,CUST0019,2026-04-01T03:24:24,1193.64,USD,credit,wire,Merchant/Novak,AU
TXN9D4FC5AAED,ACC5114AC6F,CUST0007,2026-04-01T03:38:42,173.99,USD,credit,card,Merchant/Tanaka,US
TXN475FBA1CE0,ACCA2FB0AA2,CUST0055,2026-04-01T04:33:19,3346.7,USD,credit,wire,Merchant/Garcia,US
TXN36AB09BEC6,ACCA2FB0AA2,CUST0055,2026-04-01T04:46:15,2530.23,USD,credit,card,Merchant/Smith,US
TXNF88557B325,ACCD41FFF7B,CUST0016,2026-04-01T05:45:45,333.47,USD,debit,wire,Merchant/Adeyemi,DE
TXNA01B43365B,ACC18950CCF,CUST0003,2026-04-01T05:58:38,285.07,USD,credit,wire,Merchant/Novak,FR
TXN653FFCF8F0,ACC34B288A7,CUST0023,2026-04-01T06:22:48,192.08,USD,debit,wire,Merchant/Chen,FR
TXN449A9D651A,ACC9A196547,CUST0022,2026-04-01T09:36:33,84.42,USD,debit,card,Merchant/Kim,CA
TXNEFB46EEB1C,ACCDC885386,CUST0050,2026-04-01T09:36:49,137.7,USD,debit,ach,Merchant/Chen,CA
TXNA46186B11A,ACCDFAA9A65,CUST0015,2026-04-01T10:22:09,593.99,USD,debit,card,Merchant/Brown,CA
TXN464B7378F5,ACC4CDE7B23,CUST0030,2026-04-01T12:19:41,1209.26,USD,debit,card,Merchant/Muller,US
TXNE08A848CEC,ACC120D4AAB,CUST0036,2026-04-01T13:23:59,290.01,USD,credit,card,Merchant/Lee,US
TXN9CEF80CDCA,ACCDC885386,CUST0050,2026-04-01T13:31:38,313.33,USD,credit,card,Merchant/Osei,CA
TXN8107C4C950,ACCD92A7827,CUST0030,2026-04-01T15:22:25,1120.25,USD,debit,ach,Merchant/Petrov,US
TXN6329E06E85,ACCD92A7827,CUST0030,2026-04-01T16:45:48,235.5,USD,credit,wire,Merchant/Lee,US
TXN84896D84C5,ACC2766D0F6,CUST0059,2026-04-01T17:20:38,291.73,USD,debit,ach,Merchant/Chen,AU
TXNF64C1BBAFB,ACCEFAC59DE,CUST0005,2026-04-01T18:00:43,334.14,USD,credit,wire,Merchant/Cohen,GB
TXN208C6CDC9C,ACCD3D70815,CUST0053,2026-04-01T18:24:48,5728.08,USD,credit,wire,Merchant/Osei,US
TXN415FFD0AAD,ACC4786B687,CUST0032,2026-04-01T19:22:48,3197.89,USD,credit,ach,Merchant/Novak,CA
TXN796F308893,ACC80F345A3,CUST0035,2026-04-01T19:25:12,341.19,USD,debit,ach,Merchant/Brown,GB
TXNF73AC764CC,ACC3D6F214B,CUST0013,2026-04-01T22:01:13,164.53,USD,debit,card,Merchant/Muller,US
TXN7EE48E6903,ACC4CDE7B23,CUST0030,2026-04-01T22:39:24,693.98,USD,credit,card,Merchant/Novak,US
TXNC10D442F45,ACC7D996011,CUST0031,2026-04-01T22:42:04,1030.3,USD,debit,ach,Merchant/Muller,CA
TXN7624FC4724,ACC3792DDE7,CUST0040,2026-04-02T00:38:54,2301.3,USD,debit,card,Merchant/Smith,FR
TXNE20EC133E2,ACCC8B09A22,CUST0028,2026-04-02T01:58:54,3603.0,USD,debit,card,Merchant/Garcia,US
TXN9FE90D3BE6,ACC037AE28A,CUST0060,2026-04-02T02:07:21,610.47,USD,credit,card,Merchant/Adeyemi,US
TXN70CF94ACE0,ACC00A27226,CUST0029,2026-04-02T02:22:32,438.09,USD,credit,ach,Merchant/Santos,US
TXN38F684E7DF,ACCFFABD1EA,CUST0058,2026-04-02T03:42:26,680.03,USD,credit,wire,Merchant/Santos,CA
TXNEDB7C40ED6,ACC120D4AAB,CUST0036,2026-04-02T04:26:46,392.08,USD,credit,ach,Merchant/Muller,US
TXN28805636E9,ACCB0FE7B8E,CUST0001,2026-04-02T04:34:49,1089.88,USD,credit,ach,Merchant/Muller,CA
TXNE88F3023C6,ACCD078F631,CUST0002,2026-04-02T07:51:49,182.95,USD,credit,card,Merchant/Patel,FR
TXN259CC96D28,ACC18950CCF,CUST0003,2026-04-02T11:45:44,802.91,USD,debit,ach,Merchant/Rossi,FR
TXN02839905C4,ACC3385515A,CUST0038,2026-04-02T12:36:06,182.51,USD,debit,wire,Merchant/Muller,DE
TXN1BBC4C310E,ACCB14E9F50,CUST0045,2026-04-02T16:52:58,942.9,USD,credit,card,Merchant/Tanaka,AU
TXN36BE818B63,ACC037AE28A,CUST0060,2026-04-02T17:07:28,124.35,USD,credit,ach,Merchant/Santos,US
